SourceID,CompliancePeriodBeginDate,CompliancePeriodEndDate,NonCompliancePeriodBeginDate,NonCompliancePeriodEndDate,ViolationID,FederalRule,ContaminantName,ViolationCategoryCode,ViolationCategoryDesc,ViolationMeasure,StateMCL,FederalMCL,ResolvedDate,Status,EnforcementActions,state_abbr,utility_label
VA6107350,10/01/2023,,10/01/2023,06/25/2024,6995610,Lead and Copper Rule,Lead and Copper Rule,MR,Monitoring and Reporting,,,,06/25/2024,Resolved,"[{'EnforcementDate': '07/01/2024', 'EnforcementType': 'Informal', 'EnforcementActionTypeDesc': 'State Public Notification received', 'EnforcementId': '203512', 'Agency': 'State'}, {'EnforcementDate': '06/25/2024', 'EnforcementType': 'Resolving', 'EnforcementActionTypeDesc': 'State Compliance achieved', 'EnforcementId': '203511', 'Agency': 'State'}, {'EnforcementDate': '10/27/2023', 'EnforcementType': 'Informal', 'EnforcementActionTypeDesc': 'State Formal Notice of Violation issued', 'EnforcementId': '203509', 'Agency': 'State'}, {'EnforcementDate': '10/27/2023', 'EnforcementType': 'Informal', 'EnforcementActionTypeDesc': 'State Public Notification requested', 'EnforcementId': '203510', 'Agency': 'State'}]",VA,Loudoun Water - Central System
AZ0407025,05/01/2025,05/31/2025,05/01/2025,05/31/2025,25781,Surface Water Treatment Rule,Surface Water Treatment Rule,MR,Monitoring and Reporting,,,,05/31/2025,Archived,"[{'EnforcementDate': '06/23/2025', 'EnforcementType': 'Informal', 'EnforcementActionTypeDesc': 'State Public Notification requested', 'EnforcementId': '6847', 'Agency': 'State'}, {'EnforcementDate': '06/23/2025', 'EnforcementType': 'Informal', 'EnforcementActionTypeDesc': 'State Violation/Reminder Notice', 'EnforcementId': '6846', 'Agency': 'State'}]",AZ,City of Phoenix
AZ0407025,05/01/2025,05/31/2025,05/01/2025,05/31/2025,25780,Revised Total Coliform Rule,Revised Total Coliform Rule,MON,Monitoring Violation,,,,05/31/2025,Resolved,"[{'EnforcementDate': '11/13/2025', 'EnforcementType': 'Resolving', 'EnforcementActionTypeDesc': 'State Compliance achieved', 'EnforcementId': '6850', 'Agency': 'State'}, {'EnforcementDate': '06/18/2025', 'EnforcementType': 'Informal', 'EnforcementActionTypeDesc': 'State Violation/Reminder Notice', 'EnforcementId': '6842', 'Agency': 'State'}, {'EnforcementDate': '06/18/2025', 'EnforcementType': 'Informal', 'EnforcementActionTypeDesc': 'State Public Notification requested', 'EnforcementId': '6843', 'Agency': 'State'}]",AZ,City of Phoenix
AZ0407025,01/01/2021,01/31/2021,01/01/2021,01/12/2021,25688,Interim and Long Term 1 Enhanced Surface Water Treatment Rule,Interim Enhanced Surface Water Treatment Rule,TT,Treatment Technique Violation,,,,01/12/2021,Resolved,"[{'EnforcementDate': '02/24/2021', 'EnforcementType': 'Informal', 'EnforcementActionTypeDesc': 'State Violation/Reminder Notice', 'EnforcementId': '6807', 'Agency': 'State'}, {'EnforcementDate': '02/24/2021', 'EnforcementType': 'Informal', 'EnforcementActionTypeDesc': 'State Public Notification received', 'EnforcementId': '6809', 'Agency': 'State'}, {'EnforcementDate': '02/24/2021', 'EnforcementType': 'Informal', 'EnforcementActionTypeDesc': 'State Public Notification requested', 'EnforcementId': '6808', 'Agency': 'State'}, {'EnforcementDate': '01/12/2021', 'EnforcementType': 'Resolving', 'EnforcementActionTypeDesc': 'State Compliance achieved', 'EnforcementId': '6806', 'Agency': 'State'}]",AZ,City of Phoenix
AZ0407025,01/01/2014,12/31/2022,01/01/2014,12/31/2022,25777,Inorganic Chemicals,Asbestos,MR,Monitoring and Reporting,,,,12/31/2022,Resolved,"[{'EnforcementDate': '02/14/2024', 'EnforcementType': 'Resolving', 'EnforcementActionTypeDesc': 'State no longer subject to Rule', 'EnforcementId': '6839', 'Agency': 'State'}, {'EnforcementDate': '02/14/2024', 'EnforcementType': 'Informal', 'EnforcementActionTypeDesc': 'State Violation/Reminder Notice', 'EnforcementId': '6835', 'Agency': 'State'}]",AZ,City of Phoenix
OR4100657,07/01/2022,07/31/2022,07/01/2022,07/31/2022,901163564,Revised Total Coliform Rule,Revised Total Coliform Rule,MON,Monitoring Violation,,,,07/31/2022,Resolved,"[{'EnforcementDate': '09/09/2022', 'EnforcementType': 'Resolving', 'EnforcementActionTypeDesc': 'State Compliance achieved', 'EnforcementId': '57328', 'Agency': 'State'}]",OR,Portland Water Bureau
OR4100657,12/18/2017,,12/18/2017,--->,901163552,Long Term 2 Enhanced Surface Water Treatment Rule,Long Term 2 Enhanced Surface Water Treatment Rule,TT,Treatment Technique Violation,,,,,Unaddressed,"[{'EnforcementDate': '12/18/2017', 'EnforcementType': 'Informal', 'EnforcementActionTypeDesc': 'State Bilateral Compliance Agreement signed', 'EnforcementId': '57326', 'Agency': 'State'}]",OR,Portland Water Bureau
